9	72	2
14	35	3
15	78	3
7	50	3
17	48	1
11	97	4
10	20	2
5	4	5
14	99	1
2	49	3
3	75	2
15	93	5
3	49	3
4	42	4
15	75	3
3	6	4
6	61	4
17	64	4
11	18	2
14	91	3
5	54	4
19	31	3
15	52	3
4	47	1
8	6	2
18	93	1
19	73	4
2	67	5
4	79	4
8	18	1
13	26	5
4	30	4
5	28	3
0	95	3
16	15	4
0	96	4
0	95	3
0	43	2
13	77	4
1	97	4
9	48	1
6	22	4
19	59	4
12	23	2
16	80	3
18	8	3
17	49	3
12	79	4
18	22	3
10	97	4
4	87	1
10	57	4
4	32	2
3	85	2
4	20	2
11	98	2
1	91	3
7	33	3
12	52	2
11	95	4
14	81	1
16	53	1
17	80	4
6	68	3
18	52	2
4	81	1
14	96	1
1	15	3
7	81	1
13	35	4
0	78	3
3	37	2
17	67	5
9	15	3
5	76	4
8	69	4
14	81	1
0	34	4
5	99	1
2	53	4
7	6	4
14	83	4
5	65	4
8	93	5
19	32	5
12	1	1
8	64	3
3	71	3
1	56	4
16	88	2
0	74	3
2	76	4
16	91	5
6	9	5
18	96	1
0	52	3
3	14	1
9	10	5
9	91	3
10	25	2
5	2	3
13	49	2
13	28	2
12	69	5
18	98	2
1	97	4
14	23	2
17	68	2
9	68	2
19	30	4
11	9	1
16	27	3
6	7	3
14	8	3
5	6	4
16	89	3
8	67	4
17	62	2
7	91	3
0	78	3
14	66	3
14	84	4
1	7	3
10	63	1
2	48	1
3	23	2
10	44	4
6	44	4
3	7	3
17	92	5
8	94	5
12	13	1
6	89	3
11	86	3
4	78	3
0	73	4
0	1	2
15	65	1
16	29	3
6	77	4
0	71	2
19	99	3
15	31	3
12	32	2
10	21	5
1	78	3
7	41	3
19	15	4
14	59	5
1	71	3
0	79	5
11	83	4
19	84	2
9	2	3
11	42	4
8	28	2
15	98	3
1	3	3
5	66	3
3	65	4
19	92	2
5	1	1
4	28	3
8	5	1
5	22	3
14	90	5
13	97	4
16	13	4
8	10	4
3	25	2
15	35	4
7	57	4
17	79	4
18	12	4
3	49	3
13	60	3
5	95	4
10	98	2
17	56	4
8	51	3
7	72	2
17	20	2
7	11	2
19	93	5
10	8	3
3	85	2
6	2	5
15	33	1
1	53	4
7	11	2
13	6	2
0	0	1
13	44	4
18	64	4
15	71	2
14	31	3
8	14	5
8	25	2
13	6	2
3	82	1
16	26	5
16	43	2
18	76	4
2	98	2
13	28	2
6	40	5
17	67	5
10	70	1
0	6	2
2	15	3
3	58	3
4	42	4
9	87	1
9	48	1
3	38	3
3	48	1
16	23	2
18	89	2
5	80	4
10	84	4
13	66	2
15	56	3
1	65	4
10	27	2
9	31	3
10	71	3
13	78	3
0	48	4
13	26	5
13	22	4
5	62	2
4	61	3
1	4	5
5	27	2
1	31	3
18	53	4
9	10	5
18	52	2
13	53	1
8	95	3
10	13	1
9	40	2
2	98	2
16	84	2
0	39	1
3	22	3
6	7	3
4	6	4
17	71	3
7	1	1
18	74	4
5	86	3
5	84	4
10	49	3
1	54	4
15	27	3
2	81	1
4	26	5
9	36	4
11	36	4
19	60	3
4	33	3
4	55	4
10	47	1
11	3	3
6	51	3
16	83	5
10	31	3
14	21	5
11	45	5
14	79	4
3	51	2
4	0	2
15	46	3
1	66	3
19	6	2
1	28	3
9	60	3
3	97	4
12	13	1
12	73	1
11	35	3
10	25	2
5	44	4
11	30	4
11	39	4
9	66	3
19	67	4
5	7	3
17	16	2
4	12	4
9	67	5
0	49	2
18	36	4
7	95	4
19	28	2
17	19	1
12	98	2
13	70	2
9	11	2
4	84	4
2	15	3
15	19	4
7	33	3
6	19	4
13	90	1
1	20	2
8	67	4
16	19	4
3	80	4
11	56	4
0	52	3
6	26	5
6	92	2
7	84	4
1	87	1
8	73	4
1	23	2
7	49	3
15	43	2
16	81	4
1	27	2
2	11	2
9	71	3
14	77	4
18	34	1
14	95	4
12	82	1
1	43	2
5	70	1
12	8	3
11	72	2
15	20	5
15	78	3
5	20	2
10	90	5
10	25	2
19	84	2
16	54	3
6	29	3
9	26	5
10	46	2
11	67	5
15	30	4
1	88	1
3	3	3
17	86	3
9	41	3
14	5	1
8	48	4
9	78	3
6	81	4
18	18	2
19	86	4
18	24	1
3	8	3
15	25	2
18	48	1
2	14	1
7	97	4
11	23	2
5	3	3
17	32	2
12	32	2
10	96	1
11	71	3
15	83	5
1	53	4
0	39	1
19	91	5
15	62	4
10	4	5
18	89	2
3	54	4
16	19	4
7	24	1
2	23	2
16	26	5
1	61	3
14	6	4
12	24	1
14	16	2
18	65	4
1	52	2
15	49	2
11	39	4
1	96	1
18	16	2
8	86	4
4	92	5
5	86	3
18	20	2
8	75	3
14	90	5
5	5	1
11	83	4
17	40	2
17	13	1
19	59	4
8	65	1
16	57	2
5	80	4
4	58	3
0	32	5
11	35	3
0	73	4
19	87	2
6	78	3
15	17	1
8	26	5
6	58	4
9	32	2
18	79	4
4	6	4
10	75	2
18	22	3
11	17	4
6	33	1
14	96	1
10	5	1
3	53	4
19	81	4
9	99	1
16	86	4
19	30	4
10	78	3
4	10	5
6	32	5
11	15	3
13	56	3
6	28	2
7	10	5
15	46	3
5	57	4
8	21	2
15	47	4
3	83	4
17	90	5
3	79	4
13	4	1
1	23	2
18	20	2
18	44	4
12	86	3
6	38	3
5	72	2
14	70	1
19	7	3
17	49	3
19	11	1
5	36	4
18	1	1
7	43	2
8	80	3
10	51	2
15	7	3
12	90	5
4	3	3
10	63	1
16	26	5
6	22	4
4	52	2
2	18	2
9	74	4
4	47	1
13	91	5
8	40	5
16	7	3
7	74	4
14	41	3
11	12	4
12	21	5
17	42	4
11	85	2
5	44	4
18	18	2
14	90	5
15	85	3
7	83	4
10	16	2
10	15	3
4	44	4
1	21	5
12	56	4
4	26	5
13	14	5
